name,description
KOO de Monde,A virtual design center that serves the worldwide $115 Billion luxury home furnishings and art market -- taps shift in buying behaviors
GPONDOCTOR SCOOP,Enabling customers to enjoy Fiber-optic services with a Quality as never Experience before.
Splashscore,Your Influencer Activation Engine for Facebook
"WatchRx, Inc.","WatchRx is building a watch, that's also a phone and a GPS, to help elderly take their meds on time and live independently in their home as long as possible"
R-Storm technology,Completed prototype for high-rise window cleaning robot
"MD Chalk Talk, Inc.","MD Chalk Talk aims to define the future of medical education with interactive, web-based, enduring, and creative learning tools."
Trellis,"Trellis provides web design, web development, and internet marketing services tailored to the individual needs of small to medium size businesses."
WealthRamp,"WealthRamp is a credible, online platform intelligently matching consumers with best fit fiduciary investment advisors"
Alakai Technologies Corp,"The Air Mobility vehicle: a passenger-carrying multicopter powered by clean-fuels, that's simple enough for anyone with a drivers’ license to operate."
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
"Tauten, Inc.","Tauten is seeking ""go to market"" $2M in B round funding for fully developed, patented knotless connection system for the $48B sports fishing market."
GeoOrbital,By incorporating the entire powertrain into the wheel itself we created a platform that turns any bicycle into an electric vehicle in under 2 minutes.
PatientPal,From Clipboard to Claim
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
NBD Nanotechnologies,NBD develops surface coatings that enhance the rate of condensation for applications ranging from HVAC to a potential supply of water
Planeaway,we provide a service that allows you book plane tickets several months in advance and let them pay it off monthly
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Arammu,"Taking a proactive approach to personal and professional relationship health will result in better work performance, happier employees, and less turnover."
Monsarrat,Team from $160MM Warner Bros. exit makes Pokemon Go look ancient with new AR mobile game tech platform. Now eSports and multi-million dollar partnerships.
botkeeper,"botkeeper combines skilled accountants with machine learning and AI, to provide businesses with accurate bookkeeping and dashboards, 24/7, for 50% less cost."
BrainStem Biometrics,We are launching a breakthrough sedation assessment system in the US hospital market to reduce ICU costs and improve patient safety.
Vyasa Analytics,Vyasa Analytics provides deep learning software and analytics for life sciences and healthcare organizations.
QSM Diagnostics,"Fastest/lowest cost diagnostic instrument- sensor method for identifying and monitoring common bacteria in blood, urine, sputum or wound"
SparkCharge,"Creating an efficient world of transportation by solving the range anxiety problem with our ultrafast, portable, and modular charging station for electric cars."
Automotive Networks Corporation d/b/a WheelsTV,"The Company has created and launched the Dealer Video Showroom (DVS), which uses digital technology to provide an interactive video test-drive experience."
LeadTime LLC,The second best way to share the life from the past to the future
Postfly,We're building the most exciting fishing brand on the planet
"Meetcaregivers, Inc.",Video-integrated platform that connects families to qualified caregivers for their aging parents. We streamline payment and help families track the care.
Groupize,"Groupize is an easy to use, end to end SaaS platform for planning, sourcing, managing and measuring simple corporate meetings and events."
"XOI, Inc.","XOI is the first to introduce a line of functional Vietnamese Gac superfruit beverage, while empowering Vietnamese minority farmers in a fair supply chain."
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
botkeeper,"botkeeper combines skilled accountants with machine learning and AI, to provide businesses with accurate bookkeeping and dashboards, 24/7, for 50% less cost."
"Debris Publishing, Inc.","Debris is the home of Quuve, the world’s first fully customizable web-based investment management ecosystem for professional investors."
"Dark Bond, Inc.",We want to re-invent the investment Banking Industry using Distributed Ledger Technology and Smart Contracts.
"EvaluationRx, Inc.",EvaluationRx provides cloud software for hospitals to evaluate medical products and medtech vendors to improve sales efficiency.
"Prapela, Inc.",stimulating infant health
Splitzee,"Splitzee makes group money easy. We're dedicated to saving you and your club, team, and groups time, money, and above all else: HASSLE."
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
"Sober Grid, Inc.","Sober Grid is an app that provides on-demand peer support to help people in recovery from drug and alcohol addiction get, and remain, clean and sober."
Panion Tech AB,Use common interests to find uncommon friends.
Dollarship,Dollarship is mobile loyalty platform aiming to prevent and ease the burden of student debt through engagement with the top brands and retailers.
"Intelon Optics, Inc.",We bring perioperative biomechanics imaging solutions to demanding ocular surgery and therapy.
Achvr,Achvr's social platform helps people live happier lives through first time experiences by capturing  intention data to connect people with experience providers.
Music Season,Escola de Musica online
SASA,"SasaAfrica, an e-commerce platform that connects artisans from developing regions to the global marketplace, using a simple mobile phone."
Valaa,"Valaa is on a mission to be the social platform that makes communication simple, interactive, collaborative & unified for all mediums of expression (VR, AR, MR)"
"www.WebHub.mobi by Yuvee, Inc.","WebHub moves the world from sharing a single item at a time to multisharing.  Why share one link at a time, when you can multishare?"
"Jonathan Hall, MD","Dr. Jonathan Hall, MD, FACS: Plastic Surgeon in Boston, MA"
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
"QuadWrangle, Inc.",QuadWrangle automatically personalizes engagement and giving between schools and their graduates
LuneTech,Make technology great again with no compromises
Relativity6,Relativity6 is a machine learning start-up focused on reactivating lapsed customers. We predict which inactive customers will repurchase with 80% accuracy.
"Prapela, Inc.",stimulating infant health
Rhoost,"Rhoost (pronounced ""rhoost"") designs and manufactures innovative, non-toxic, recyclable baby health and safety solutions for modern parents."
Low Stress Training Products LLC,Grow bigger yields on fewer plants with our reusable training kits.
Ergosuture Corp.,Suturing redefined!
Angel Creative Solutions for Healthcare,Innovative digital health products and solutions
Minus the Moo,"Minus the Moo is a premium ice cream made from real dairy and all the same ingredients of traditional ice cream, with lactase enzyme to make it lactose-free!"
GPONDOCTOR SCOOP,Enabling customers to enjoy Fiber-optic services with a Quality as never Experience before.
"Treppen Technologies, Inc.","SaaS for Intelligent governance, focused on people and processes (real-time) to identify and stop potentially risky events before they are finalized."
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
Finalee,Finalee provides an ad-free and clutter-free experience where businesses can put their best foot forwards and users can simply find what they are looking for.
iCreate,We reinvent the way kids play through a platform that bridges yesterday's physical toys with today's digital means of creating and sharing.
Medumo,"We help healthcare organization deliver the right instructions to the right patients at the right time to increase patient engagement, satisfaction and outcome."
USpin,"Plan something fun with friends anytime, anywhere, with @USpin!"
LaborX,The LinkedIn for the LinkedOut
EVELO Electric Bicycles,"Smart, beautiful electric bicycles delivered fully assembled direct to customers' door."
EnergySage,"EnergySage is the ""Expedia of Solar"", the leading online marketplace for turnkey solar energy systems and financing options.  https://youtu.be/YXvCwVT0qkk"
"OLEV Technologies, Inc.","We solve the commercial EV problems.  With OLEV, an EV can be powered while moving or when stopped - no service break.  420% growth predicted over next decade."
FairSetup,FairSetup provides impact-driven performance management and compensation solutions that turn employees into partners.
Young Broadcasters of America,"A digital media services company that teaches adults and ""Generation Text"" to talk, using TV broadcasters' skills in person and online"
Raja Systems,Raja Systems can cut the cost of generating electricity in remote locations in half
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
"Dark Bond, Inc.",We want to re-invent the investment Banking Industry using Distributed Ledger Technology and Smart Contracts.
Day2Night Convertible Heels,Day2Night's patent-pending convertible high heel shoes convert from high heels down to low heels by simply pressing a button.
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
Workership,An online platform that combines data analytics & anonymity with effective organizing structures to help workers bring their collective voice to the forefront
"Directive Communication Systems, Inc.","We provide the solution to efficiently managing and ending an online life to the best interests of all involved, from families and estates to online businesses."
"Sober Grid, Inc.","Sober Grid is an app that provides on-demand peer support to help people in recovery from drug and alcohol addiction get, and remain, clean and sober."
Skelmet,"No two heads are shaped the same, so why should our glasses and helmets be? At Skelmet we create customized wearables that fit perfectly."
Project Finance,Personal finance software that finds the most advantageous actions that maximize your money.
HipHost,We are a marketplace for customized tours hosted by locals. Our vision is to connect travelers with a friend in every city.
UBERDOC,Patients in need of urgent medical care are granted direct access to a choice of the best specialists and instantly offered an accelerated appointment date.
EduMetrics,"We transform K-12 schools by changing the way they gather, use, and think about data through real-time data capture and analysis on non-cognitive domains."
"Vindor Music, Inc.","Make learning and playing music easy, fun, and engaging to increase success"
"NextShift Robotics, Inc.",NextShift Robotics increases the productivity and dramatically lowers the cost   of e­commerce order fulfillment and cellular manufacturing processes.
FarmVitals,FarmVitals is an AgTech application that reduces fertilizer costs & increases crop yields through patented tech that gives reliable readings of nitrogen content
Lilypad Scales,"Lilypad Scales removes barriers to independence for people with physical disabilities with the first affordable, portable wheelchair scale."
ClassroomWindow,"ClassroomWindow is Yelp + Consumer Reports for education products and services, a $25b market."
Ourotech,"Ourotech helps pharma companies reduce false positive cancer therapies early using hydrogels to create predictive, high drug-resistance, in-vitro tumor models"
Genomic Expression Inc,We help the doctor find the right drug for the patient and the pharma company find the right patient for their drug
Pingster,The next generation in Photo-sharing GPS mobile apps
Finalee,Finalee provides an ad-free and clutter-free experience where businesses can put their best foot forwards and users can simply find what they are looking for.
Omnitivity Inc.,"Omnitivity is Post-Sales ($300K) seeking $600K (40% equity) to accelerate sales of our zero latency, interactive medical telementoring/telepresence system."
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
Athletic Science,"Athletic Science enables cloud based online sports coaching, training and drill instruction by connecting athletes with elite coaches."
Labby,Labby is a high-tech food+beverage testing lab on a smartphone!
FarmVitals,FarmVitals is an AgTech application that reduces fertilizer costs & increases crop yields through patented tech that gives reliable readings of nitrogen content
Sumu,Finding home. Sumu is a mobile app that helps tenants find a place to call home.
Zingfin,Zingfin.com provides a big picture of financial markets through statistical tools that help investors visually understand patterns & trends.
Listenwise,Unique listening skills platform using power of public radio. Good early traction with school district sales. Leadership expertise in public radio and Ed Tech.
Sparva Holdings Corporation,Sparva is a newly formed entity that has been strategically designed for rapid expansion through the production of its wireless power technology.
SparkCharge,"Creating an efficient world of transportation by solving the range anxiety problem with our ultrafast, portable, and modular charging station for electric cars."
Milestone Product Design,"Milestone Product Design creates innovative, valuable, and sustainable products for the Juvenile Product marketing.  Now launching the patented S4 Crib Platform"
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
"WatchRx, Inc.","WatchRx offers Smartwatch with visual Med reminders, phone & GPS for seniors and app for caregivers to get alerts & have peace of mind"
plannedUp,"The calendar for the Facebook generation, letting you plan, play, and be productive."
ShovelRope Inc.,This shovel could save your life!
Rugged Communications,Rugged Communications deliver phone and internet connectivity and electricity to rural areas in developing countries and helps operators extend their coverage.
Million,Unleash your personal brand by building a website from your apps in seconds
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
"QuadWrangle, Inc.",QuadWrangle automatically personalizes engagement and giving between schools and their graduates
Ergosuture Corp.,Suturing redefined!
"Near Infrared Imaging, Inc.",Near Infrared Imaging is on the cusp of causing a paradigm shift in medical imaging.
AINA Wireless Inc.,We partnered with a Fortune 500 to build a speaker-mic for them. Partner with us to build a 50M Company in this $10bn market for professional communication.
TeachersConnect,TeachersConnect builds communities and tools for a world in which K-12 teaching is never a solo activity.
Just Ask A Nurse (JAAN),We are a  physician refferal service established to provide the general healthcare public with nurse based recommendations. Who do nurses go to for medical care
LaborX,The LinkedIn for the LinkedOut
Food for All,Half-price meals to save your wallet & our planet
"Directive Communication Systems, Inc.","We provide the solution to efficiently managing and ending an online life to the best interests of all involved, from families and estates to online businesses."
"EvaluationRx, Inc.",EvaluationRx provides cloud software for hospitals to evaluate medical products and medtech vendors to improve sales efficiency.
"Prapela, Inc.",stimulating infant health
Rendever,Virtual reality platform for the aging population.
Organic Parking,Sick of circling the block?  Plan ahead with Organic Parking.
Planeaway,we provide a service that allows you book plane tickets several months in advance and let them pay it off monthly
tripchi,tripchi is an app that improves your airport experience while helping vendors and airports increase sales through micro-targeting.
VR Tech Inc,Single platform for hiring  and marketing for any size/industry businesses.
TESLEC,"Contactless electricity transmission system innovator,  and contactless inroad lights manufacturer. A new system that will change radically the lighting market."
Flying-Solutions.com,"Flying assisted Robots, precisely work at very high speed over very long distances. Work Drones, earning their pay where they are the best solution."
Altaeros Energies,Harnessing high altitude winds to deliver low cost energy.
Solstice,Solar for Every American.
"Cuaround, LLC",AUTOMATION OF THE FUTURE
BlocksCAD Inc,"BlocksCAD is an easy to use, 3D modeling tool, designed for education, to help teachers improve student learning and engagement when working with 3D printers."
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
"myEdGPS (EnCompass Education Solutions, Inc.)","myEdGPS cuts through red tape & alleviates stress for 65MM U.S. caregivers, allowing their employers to reengage them & reduce healthcare costs, a true win-win."
Splashscore,Your Influencer Activation Engine for Facebook
WorkAround Online,"WorkAround is an impact sourcing provider helping companies
get more done for less, while giving jobs to refugees."
"PRESCIENTPHARMA, LLC","Prescient Pharma performs research to develop drugs for anti-aging, pulmonary diseases and cancers."
Planetary Emissions Management Inc.,PEM develops innovative technologies to accurately measure greenhouse gases. GHG measurements are monetized as securities not 'carbon credits'.
SaveOhno,"SaveOhno is a crowdcampaigning platform where people, brands, and nonprofits team up to create a better world."
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
Lilypad Scales,"Lilypad Scales removes barriers to independence for people with physical disabilities with the first affordable, portable wheelchair scale."
lube 2 go,"Mobile oil change & steam car wash and mobile billboard for
1.Fleet customers
2.Everyone who drives a car
3.Businesses who advertise."
UBERDOC,Patients in need of urgent medical care are granted direct access to a choice of the best specialists and instantly offered an accelerated appointment date.
ClimateStore,Climate friendly living made easy
"Cuaround, LLC",AUTOMATION OF THE FUTURE
"Summate Technologies, Inc.",Summate has developed patented technology to solve a billion dollar problem that exists in the healthcare OR implant supply chain.
"SJM Engineering, Inc.","After designing industrial equipment for the likes of P&G for 30 yrs., semi-retired I am developing my own products, which is what I am seeking help for."
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Yobe Inc,Artificial Intelligence powered software that can identify signal content and increase sound quality/clarity while reducing content size by 30% to 50%.
Sportody,Sportody is a web and mobile marketplace that helps the world enjoy more outdoor sports.
"Cuaround, LLC",AUTOMATION OF THE FUTURE
Treenook,Treenook makes solar panel sales for Sungevity. Opening an office next to Thatcher Realty (Cape Cod) in March. Small but rapidly expanding business.
Panion Tech AB,Use common interests to find uncommon friends.
Arammu,"Taking a proactive approach to personal and professional relationship health will result in better work performance, happier employees, and less turnover."
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
Pillo Health,Pillo is an intelligent medication management platform and personal health assistant for the home.
Collabor Inc,"We help companies maximize customer lifetime value by increasing avg customer life, avg customer revenue & customer delight"
Caila,A platform to make every person super human.
realtycloud,Launched the first of a series of cloud-based SAAS mobile application providing integrated and interactive services for real estate property transactions.
Mobile Oxygen,The SnapScreen delivers 10 X engagement to your mobile shoppers.
WeSpire,"WeSpire is an employee engagement platform that helps global companies design, run and measure the impact of their purpose-based initiatives."
mooditor,the mood monitor of the globe.
zakipoint Health,Self-funded employers are paying $600 bn on employee healthcare costs. 10% can be contained. We help them lower this spend and manage pop health risk
Uplift,"Revolutionary solution presented through a simple mobile app that ""Ends Jet Lag Naturally""!"
Planetary Emissions Management Inc.,PEM develops innovative technologies to accurately measure greenhouse gases. GHG measurements are monetized as securities not 'carbon credits'.
Idyoma,Mobile app for language learners to connect with others near-by for conversational practice
Workership,An online platform that combines data analytics & anonymity with effective organizing structures to help workers bring their collective voice to the forefront
Seacoast Sweets,"Handmade chocolate company + lifestyle brand from Newburyport, MA - original family recipe, portion of proceeds donated to local Boston charity. @seacoastsweets"
ParkWise,"ParkWise is an Intelligent Transportation System that solves the street parking problem for drivers, connected and self-driving vehicles."
Groupize,"Groupize is an easy to use, end to end SaaS platform for planning, sourcing, managing and measuring simple corporate meetings and events."
Expert Medical Navigation,"We reduce healthcare expenses for employers by guiding employees to medically appropriate, cost effective treatments with optimal outcomes."
LuneTech,Make technology great again with no compromises
Realplay,"An Online improvement & recruiting platform for High School Baseball/Softball. We use AI to capture, edit, tag and distribute game film and highlight reels"
AluluClub,AluluClub is a two-sided marketplace that provides craft beer discovery and delivers craft beer directly from breweries to consumers.
"Cuaround, LLC",AUTOMATION OF THE FUTURE
"Cuaround, LLC",AUTOMATION OF THE FUTURE
Startup Blvd,"Startup Blvd is an online platform that connects early stage ventures with customers, partners and key resources they need to grow."
Involved,"Involved is a micro-polling software for local government, helping offices increase civic engagement and understand public opinion with single question surveys."
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
tripchi,tripchi is an app that improves your airport experience while helping vendors and airports increase sales through micro-targeting.
"The Atmosphere Music, Inc.",The Atmosphere: The Music Community of the Future. One Place. One Site. Music the way you want it!
Sportody,Sportody is a web and mobile marketplace that helps the world enjoy more outdoor sports.
BioTrak Therapeutics,"Boston/New York/Denver--Empowering people suffering from frequently recurring headaches & migraines with clinically-demonstrated, app-based behavioral therapy."
BlocksCAD Inc,"BlocksCAD is an easy to use, 3D modeling tool, designed for education, to help teachers improve student learning and engagement when working with 3D printers."
Genomic Expression Inc,We help the doctor find the right drug for the patient and the pharma company find the right patient for their drug
rHEALTH,Our mission is to democratize biomedical information through technology
QSM Diagnostics,"Fastest/lowest cost diagnostic instrument- sensor method for identifying and monitoring common bacteria in blood, urine, sputum or wound"
Kaymbu,Instagram for educators -- document and share anything to capture the essence of student development and strengthen relationships between home and school.
Bonzer Inc,Bonzer is an one way car sharing service with a focus on last mile trips using cool mini electric cars.
Epiic Solutions,"Unique programs for Greater Boston teens to explore entrepreneurship, innovation and design. Teens develop/pitch own startup, and meet city's creative founders."
Aldatu Biosciences,The power of PANDAA qDx: tackling drug resistance with diagnostics innovation. Improving individual & population health while decreasing system costs.
"SRN, Inc",SRN has created an incident barrier system with very diverse application across numerous markets. Seeking expansion capital to expedite growth.
Flapper Funding,"We are a live-entertainment crowdfunding platform with integrated ticket servicing which benefits fans, artists, venues, and promoters."
Ballistic Breaker Corporation,The Arc-Free Circuit Breaker for DC or AC Power: enables high power DC transmission and distribution from microgrids to supergrids.
"Power Development International, Inc.","Converting moving water into electricity more efficiently, more cost effectively and more responsibly than anything available on the market today."
Medcohere,Communication made easy
Vaska Technologies Inc.,"We make smart-home devices that automatically replenish household consumables, such as Keurig k-cups, at the best price available from online retailers."
"EntraTympanic, LLC",A device and procedure for the in-office treatment of middle ear infections with immediate pain relief and without systemic antibiotics.
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
DoneGood,DoneGood makes it easy to discover companies that make great stuff and make the world better at the same time.
Sharelendar,Calendar Community for building tomorrow.
Planetary Emissions Management Inc.,PEM develops innovative technologies to accurately measure greenhouse gases. GHG measurements are monetized as securities not 'carbon credits'.
Solchroma Technologies Inc,"Solchroma is building the world's most vivid, sunlight-readable displays for our future Smart Cities."
Bounce Imaging,"Bounce Imaging's low-cost, throwable omnidirectional cameras enable first responders to safely inspect dangerous spaces in 360 on their phone without entering."
Finalee,Finalee provides an ad-free and clutter-free experience where businesses can put their best foot forwards and users can simply find what they are looking for.
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
Lilypad Scales,"Lilypad Scales removes barriers to independence for people with physical disabilities with the first affordable, portable wheelchair scale."
CONTINUUS Pharmaceuticals,"CONTINUUS Pharmaceuticals will enable “on-demand” manufacturing of pharmaceuticals with advantages in lead time, quality, and cost."
Sleepbox,Sleepbox is a new type of micro-hotel for millennial travelers.
"Health Beacons, Inc.",Health Beacons' RFID Breast Tumor Localization System revolutionizes the standard of care for marking non-palpable breast tumors for surgical removal.
Seacoast Sweets,"Handmade chocolate company + lifestyle brand from Newburyport, MA - original family recipe, portion of proceeds donated to local Boston charity. @seacoastsweets"
Hospital IQ,"Predictive analytics platform to improve hospital efficiency using operations science principles like queuing theory, optimization, and predictive modeling."
Fide PBC,Fide enhances cross-border payments by giving control and value to consumers.
Kubuc Corporation,The world's first gaming console with its own smartphone.
plannedUp,"The calendar for the Facebook generation, letting you plan, play, and be productive."
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
Omnitivity Inc.,"Omnitivity is Post-Sales ($300K) seeking $600K (40% equity) to accelerate sales of our zero latency, interactive medical telementoring/telepresence system."
Bevi,"Bevi makes internet-connected water coolers for offices that provide unlimited sparkling, still, and flavored water on demand."
NBD Nanotechnologies,NBD develops surface coatings that enhance the rate of condensation for applications ranging from HVAC to a potential supply of water
"Cuaround, LLC",AUTOMATION OF THE FUTURE
"PlenOptika, Inc.","PlenOptika is disrupting the barriers to eyeglasses/eyeglass prescriptions for billions of people worldwide with our medical device, the QuickSee."
Magurobotics LLC (Zombait),Revive global sportfishing with technology.
Pretty Instant,The world's first managed marketplace for professional photography.
"Prapela, Inc.",stimulating infant health
"Oxigen USA, Inc.",Disrupting the $70b India remittance market with mobile money and micro-remittances.
Solstice,Solar for Every American.
Listenwise,Unique listening skills platform using power of public radio. Good early traction with school district sales. Leadership expertise in public radio and Ed Tech.
Arammu,"Taking a proactive approach to personal and professional relationship health will result in better work performance, happier employees, and less turnover."
"CrowdComfort, Inc.","Waze for buildings.  We crowd-source building data (comfort, maintenance, safety, etc.) from occupants to help organizations operate more efficiently."
Skelmet,"No two heads are shaped the same, so why should our glasses and helmets be? At Skelmet we create customized wearables that fit perfectly."
ClassroomWindow,"ClassroomWindow is Yelp + Consumer Reports for education products and services, a $25b market."
Cocomama Foods,Cocomama uses unique ingredients and form factors to make innovative natural foods that meet growing market needs and trends.
"Meetcaregivers, Inc.",Video-integrated platform that connects families to qualified caregivers for their aging parents. We streamline payment and help families track the care.
"Cuaround, LLC",AUTOMATION OF THE FUTURE
